name,type,latitude,longitude
KERMAN_6_N001,Load Node,36.6921,-120.06
PINEFLT_2_B1,Generation Node,36.84,-119.32
PINEFLT_7_B1,Generation Node,36.83,-119.31
PINEFLT_7_B3,Generation Node,36.83,-119.31
PINEFLT_7_B4,Generation Node,36.83,-119.31
HAAS_7_B1,Generation Node,36.95,-119
HAAS_7_B11,Generation Node,36.95,-119
BALCH_2_B1,Generation Node,36.92,-119.13
HAAS_2_B1,Generation Node,36.94,-119.01
BALCH3TP_2_B1,Generation Node,36.92,-119.12
GIFFEN_6_N001,Load Node,36.5451,-120.33
BLCH38751_7_B1,Generation Node,36.93,-119.12
BLCH38750_7_B1,Generation Node,36.92,-119.13
SANJOQN_6_N001,Load Node,36.621,-120.18
SANJOQN_6_N006,Load Node,36.621,-120.18
STROUD_6_N001,Load Node,36.5309,-120.1
CAMDEN_6_N001,Load Node,36.4463,-119.8
CAMDEN_6_N002,Load Node,36.4463,-119.8
WSTFRSO_1_N001,Load Node,36.7184,-119.82
WSTFRSO_1_N004,Load Node,36.7184,-119.82
STONCRRL_6_N001,Load Node,36.4723,-119.19
STONCRRL_6_N003,Load Node,36.4723,-119.19
MCCALL_1_N026,Load Node,36.6114,-119.64
MCCALL_1_N030,Load Node,36.6114,-119.64
MCCALL_1_N093,Generation Node,36.6114,-119.64
DUNLAP_6_N001,Load Node,36.645,-119.16
DINUBA_6_N001,Load Node,36.52,-119.39
DINUBA_6_N005,Load Node,36.52,-119.39
ANGIOLA_6_N001,Load Node,35.992,-119.57
OROSI_6_N001,Load Node,36.5448,-119.25
OROSI_6_N006,Load Node,36.5448,-119.25
SANDCRK_6_N001,Load Node,36.645,-119.16
WAHTOKE_1_N001,Load Node,36.6162,-119.45
WAHTOKE_1_N002,Load Node,36.6162,-119.45
TVYVLLY_6_N001,Load Node,36.7706,-119.39
GRDNWEST_1_N001,Load Node,36.59,-119.57
GRDNEAST_1_N101,Load Node,36.48,-119.61
GRDNEAST_1_N102,Load Node,36.48,-119.61
DINUBAE_7_B2,Generation Node,36.52,-119.39
DINUBAE_7_N001,Load Node,36.52,-119.39
AIRPROD_1_N001,Load Node,36.65,-119.54
ULTPWRJ_1_N001,Generation Node,36.66,-119.63
REEDLEY_6_N001,Load Node,36.6051,-119.38
RANCHRS_1_N001,Load Node,36.7008,-119.75
REEDLEY_1_N001,Load Node,36.6051,-119.38
SCWAX_1_N001,Load Node,36.7008,-119.75
BOSWELL_6_N001,Load Node,36.0851,-119.55
MALAGA_1_B1,Generation Node,36.69,-119.58
MALAGA_1_N001,Load Node,36.6941,-119.72
MALAGA_1_N004,Load Node,36.6941,-119.72
MALAGA_1_N005,Load Node,36.6941,-119.72
MALAGA_1_N206,Load Node,36.6941,-119.72
CORCORAN_1_N001,Load Node,36.1096,-119.56
CORCORAN_1_N005,Load Node,36.1096,-119.56
HARDWICK_6_N001,Load Node,36.4043,-119.69
CALAVE_1_N001,Load Node,36.7189,-119.77
CALAVE_1_N002,Load Node,36.7189,-119.77
CALAVE_1_N004,Load Node,36.7189,-119.77
DANISHCM_1_N001,Load Node,36.7189,-119.77
KINGSBRG_1_N001,Load Node,36.5,-119.59
KINGSBRG_1_N008,Load Node,36.5,-119.59
SANGERCO_7_B1,Generation Node,36.7071,-119.61
RAINBOW_1_N001,Load Node,36.71,-119.54
SANGER_1_N001,Load Node,36.7071,-119.61
KINGSRIV_7_B1,Generation Node,36.87,-119.13
CLOVIS_1_N001,Load Node,36.826,-119.68
CLOVIS_1_N101,Load Node,36.826,-119.68
CLOVIS_1_N004,Load Node,36.826,-119.68
