INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2020-01-01T11:00:00-00:00,1/1/20,3,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,32.20839,1
2020-01-01T09:00:00-00:00,1/1/20,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.17687,1
2020-01-01T10:00:00-00:00,1/1/20,2,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.89133,1
2020-01-01T12:00:00-00:00,1/1/20,4,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.34873,1
2020-01-01T20:00:00-00:00,1/1/20,12,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,19.45456,1
2020-01-01T22:00:00-00:00,1/1/20,14,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,14.11213,1
2020-01-01T23:00:00-00:00,1/1/20,15,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,17.53294,1
2020-01-01T13:00:00-00:00,1/1/20,5,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.93713,1
2020-01-01T15:00:00-00:00,1/1/20,7,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.19298,1
2020-01-02T08:00:00-00:00,1/1/20,24,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.42446,1
2020-01-01T19:00:00-00:00,1/1/20,11,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,21.00132,1
2020-01-02T01:00:00-00:00,1/1/20,17,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,34.60609,1
2020-01-02T07:00:00-00:00,1/1/20,23,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.83639,1
2020-01-02T02:00:00-00:00,1/1/20,18,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,38.64276,1
2020-01-02T04:00:00-00:00,1/1/20,20,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,37.95023,1
2020-01-01T21:00:00-00:00,1/1/20,13,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,16.51136,1
2020-01-01T14:00:00-00:00,1/1/20,6,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,33.39587,1
2020-01-02T05:00:00-00:00,1/1/20,21,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,38.16709,1
2020-01-01T16:00:00-00:00,1/1/20,8,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,32.92771,1
2020-01-01T17:00:00-00:00,1/1/20,9,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,29.57575,1
2020-01-01T18:00:00-00:00,1/1/20,10,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,23.55888,1
2020-01-02T06:00:00-00:00,1/1/20,22,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,35.48706,1
2020-01-02T00:00:00-00:00,1/1/20,16,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,25.54745,1
2020-01-02T03:00:00-00:00,1/1/20,19,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,38.45993,1
2020-01-02T10:00:00-00:00,1/2/20,2,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,30.12485,5
2020-01-02T21:00:00-00:00,1/2/20,13,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,28.25219,5
2020-01-02T12:00:00-00:00,1/2/20,4,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,29.81836,5
2020-01-03T06:00:00-00:00,1/2/20,22,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,40.37984,5
2020-01-03T05:00:00-00:00,1/2/20,21,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,41.79019,5
2020-01-03T07:00:00-00:00,1/2/20,23,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,36.92034,5
2020-01-02T19:00:00-00:00,1/2/20,11,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,31.91042,5
2020-01-02T20:00:00-00:00,1/2/20,12,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,28.88621,5
2020-01-03T04:00:00-00:00,1/2/20,20,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,44.70698,5
2020-01-02T09:00:00-00:00,1/2/20,1,0,HOLLISTR_1_N101,HOLLISTR_1_N101,HOLLISTR_1_N101,DAM,LMP,LMP_PRC,HOLLISTR_1_N101,ALL,1,29.60412,5
